date,user_id,raw_user_agent,browser,os,device,is_mobile,is_tablet,is_touch_capable,is_pc,is_bot
2025-09-10,RZ247955,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,IC213881,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Edge 138.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RQ298755,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Edge 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RX635283,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RV622478,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Edge 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RX170884,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RX124310,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",Edge 137.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RZ216512,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Edge 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,IC151186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RZ313931,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Chrome 134.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,IC280591,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0,Firefox 142.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,IC191321,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Edge 136.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,UA009703,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Chrome 138.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RO812560,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Chrome 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RY984801,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Chrome 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RO364325,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
