user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RW816378,20,5,2,Dienstverband
RY903347,20,5,1,Vrijwilligersgegevens
IC207146,20,9,1,Aanstelling
RZ314936,20,8,1,Arbeidsovereenkomsten
RO287783,20,5,2,Arbeidsvoorwaarden
RX635283,20,1,1,Medewerker dossier
RP307564,20,4,1,Contracten / Arbeidsvoorwaarden
UA007358,20,6,1,Dienstongeval / Beroepsziekte
RO219479,20,2,1,Arbeidsvoorwaarden
RY956523,20,11,1,05.1 Gesprekkencyclus
RY701454,20,5,2,01. Dienstverband
RY990410,20,9,1,02.1 Arbeidsovereenkomst
RZ299728,20,6,1,Arbeidsvoorwaarden
RY154121,20,3,2,Medewerker dossier
RO828508,20,6,1,Arbeidsvoorwaarden
RO138220,19,2,2,Medewerker dossier
RP482981,19,9,1,Dienstverband
RU334036,19,1,2,Medewerker dossier
RZ246248,19,1,2,Arbeidsvoorwaarden
RX930458,19,3,1,Functioneren/Ontwikkeling
IC292656,19,1,1,Verlof
RY870354,19,15,1,Medewerker dossier
RT368917,19,12,2,Dienstverband
RY969390,19,3,2,Dienstverband
RY655694,19,4,1,Medewerker dossier
RX764386,19,4,1,Medewerker dossier
RU416247,19,5,2,Opleiding
RV961494,19,2,1,Medewerker dossier
RS637409,19,10,1,Verlof
IC112226,19,4,2,Medewerker dossier
RX127644,19,6,2,Verstreken bewaartermijn
RY394738,19,5,1,Persoonlijke ontwikkeling en functioneren
RY750634,19,2,2,Arbeidsvoorwaarden
IC282225,18,6,1,Dienstverband
RV656739,18,2,1,Medewerker dossier
RY139830,18,4,1,Loopbaan en Pers. ontwikkeling
RY675248,18,7,1,Personeelsdossier
RV450503,18,5,1,Loopbaanontwikkeling
RZ337723,18,1,1,Medewerker dossier
RY286518,18,9,2,Arbo
RQ490190,18,10,1,Medewerker dossier
RQ679496,18,6,1,Arbo en ziekteverzuim
RZ215990,18,2,2,Medewerker dossier
RX540946,18,9,1,Werkkostenregeling
RW776736,18,6,1,Medewerker dossier
RZ176280,18,11,2,Persoonlijk
RY1003200,18,10,1,Arbeidsvoorwaarden
UA005763,18,6,2,Dienstongeval / Beroepsziekte
RX303211,18,7,1,Persoonlijk
RY551442,18,2,1,Functionering
RY870748,18,8,1,Arbeidsvoorwaarden
RZ246633,18,9,1,Arbeidsvoorwaarden
RY243031,18,4,1,01. Dienstverband
RY991138,18,6,1,Arbeidsvoorwaarden
IC249091,18,1,1,Medewerker dossier
RY984800,18,10,1,Functioneren en loopbaan
RZ290015,17,8,1,"Bezwaar, klachten, hoger beroep"
RO974614,17,1,1,Dienstverbanden
RV645373,17,7,1,Persoonlijk
IC217713,17,1,2,Medewerker dossier
RY857098,17,15,1,02.1 Arbeidsovereenkomst
RX789096,17,6,1,Verstreken bewaartermijn
RX910135,17,3,1,Beoordeling/functioneren
RS457518,17,8,2,Primaire arbeidsvoorwaarden
RX333030,17,1,1,Medewerker dossier
RY821888,17,6,2,Arbeidsvoorwaarden
RY827969,17,9,1,Gedragscode
RY545809,17,3,2,Medewerker dossier
RP733149,17,6,1,Diversen
RV747194,17,9,2,Individuele afspraken
RX927955,17,5,2,Persoonlijk
RZ307836,17,13,2,Aanstelling/ontslag
RZ213595,17,8,1,Verlof
IC267577,17,3,1,Persoonlijke ontwikkeling
RZ324295,17,11,1,Persoonsgegevens
IC231300,17,4,2,Verblijfsvergunning
RY897987,17,4,2,Medewerker dossier
IC285518,17,1,2,Medewerker dossier
RO518153,17,8,2,Medewerker dossier
UA001727,17,9,1,Inzetbaarheid
RQ456941,17,10,1,Persoonlijk
RZ358807,17,13,1,Verstreken bewaartermijn
RZ287644,17,11,1,Arbeidsvoorwaarden
RW921944,17,5,2,Medewerker dossier
RW761075,17,5,2,Verlof
RQ406113,17,5,1,Secundaire arbeidsvoorwaarden
IC284958,17,7,2,Loopbaan
RZ179504,17,5,1,Medewerker dossier
RZ289901,17,10,1,Salaris
RQ101621,16,9,1,Voorselecties
RY618242,16,9,1,Medewerker dossier
RX277694,16,4,2,Arbeidsvoorwaarden
RY826299,16,11,1,Loopbaanontwikkeling
RY554259,16,5,1,Arbeidsvoorwaarden
RY495896,16,7,1,Dienstverband
RX635338,16,6,2,Functioneren/loopbaan
RY900882,16,10,1,Persoonlijk
IC194895,16,6,2,Salaris
IC159590,16,3,2,Salarisspecificatie / Jaaropgaaf
RY903328,16,11,1,"1. Arbeidsovereenkomst, doorstroom en ontslag"
RQ738661,16,8,1,Loopbaan en ontwikkeling
RZ261924,16,5,2,Medewerkersreis
RT130368,16,7,1,Arbeidsvoorwaarden
RO126644,16,6,2,Arbeidsovereenkomsten
RZ246380,16,9,2,02.1 Arbeidsovereenkomst
RO928306,16,9,1,Beoordeling/functioneren
RQ508519,16,8,1,Aanstelling
RY835838,16,4,2,Medewerker dossier
RZ325255,16,5,2,Persoonlijk
IC282292,16,9,1,Dienstverband
RV754723,16,4,1,Persoonlijk
RX587664,16,6,2,Dienstverband
RV508707,16,3,2,Medewerker dossier
RY273199,16,6,1,Persoonsgegevens
IC216627,16,9,1,Verstreken bewaartermijn
RS975884,16,11,1,Contract en aanstellingssgegevens
RP783440,16,8,2,Arbeidsvoorwaarden
RY584142,16,11,1,Aanstelling/overeenkomst
RZ101349,16,6,1,Persoonlijk
RZ213724,16,6,1,02.1 Arbeidsovereenkomst
UA000414,16,7,1,Einde dienstverband
RO984300,16,3,1,Aanstelling en benoeming
RY496009,16,7,1,Persoonlijk
IC286477,16,8,1,Dienstverbanden
RX328581,16,9,2,Dienstverband
IC275236,16,5,1,07 Verzuim
RY496094,16,5,2,Medewerker dossier
RV546104,16,2,1,Persoonsgegevens
RQ468751,15,10,1,Loopbaan
RY1005986,15,11,1,Werkmappen
IC257466,15,7,1,Arbeidsvoorwaarden
IC217924,15,7,1,Loopbaan
RY631792,15,6,2,Persoonlijk
RX563201,15,4,1,Opleiding & Ontwikkeling
RO679264,15,7,1,Arbeidsovereenkomst
RY653522,15,6,1,Medewerker dossier
RZ293339,15,10,1,Arbeidsovereenkomst
