user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
IC150729,10,3,2,datumUitDienst
IC204073,10,2,2,medewerkerCode
IC204117,10,2,1,medewerkerCode
UA003187,10,2,2,datumUitDienst
RX837750,10,2,2,datumUitDienst
RQ689883,10,2,1,medewerkerNaam
RS177644,10,2,1,datumUitDienst
IC218001,10,3,2,datumUitDienst
RO654530,10,2,1,medewerkerNaam
RY740530,10,2,2,medewerkerNaam
IC248683,10,2,1,medewerkerCode
UA006037,10,3,1,datumUitDienst
RY286518,10,2,2,datumUitDienst
RX391257,10,2,1,medewerkerNaam
RX780932,10,2,2,datumUitDienst
RO364325,10,2,1,datumUitDienst
IC258788,10,2,1,datumUitDienst
RZ216185,10,3,2,datumUitDienst
RW919786,10,2,1,datumUitDienst
RX511244,10,2,2,datumUitDienst
RY932140,10,2,1,datumUitDienst
RY700667,10,3,2,datumUitDienst
RX913980,10,2,1,datumUitDienst
RX634430,10,2,1,medewerkerNaam
RX302843,10,2,1,datumUitDienst
RY534262,10,3,2,datumUitDienst
RY861676,10,3,1,datumUitDienst
RZ207351,10,2,1,medewerkerNaam
IC260217,10,2,2,medewerkerNaam
IC242092,10,2,2,medewerkerNaam
RY588568,10,2,2,datumUitDienst
RO216843,10,2,1,datumUitDienst
RV912849,10,2,1,datumUitDienst
RX137962,10,2,2,medewerkerNaam
RY233731,10,2,1,datumUitDienst
RP213038,10,2,2,medewerkerNaam
RX768554,10,2,2,medewerkerNaam
RW110683,10,2,2,medewerkerNaam
IC203559,10,2,1,medewerkerCode
IC276875,10,3,2,datumUitDienst
IC256860,10,2,2,datumUitDienst
RO523843,10,3,1,datumUitDienst
RZ262946,10,2,1,datumUitDienst
RY906672,9,2,1,datumUitDienst
RW163889,9,3,2,medewerkerCode
RO706343,9,3,2,medewerkerCode
IC287882,9,3,2,medewerkerCode
RZ223638,9,3,2,medewerkerNaam
RY1034599,9,2,2,medewerkerNaam
RY996441,9,3,1,medewerkerCode
RX785627,9,2,2,medewerkerNaam
RX630580,9,2,1,medewerkerNaam
RY528449,9,2,2,medewerkerNaam
RY542460,9,2,1,medewerkerCode
RW927005,9,2,2,medewerkerNaam
RP238214,9,2,2,medewerkerNaam
RQ345507,9,3,2,medewerkerNaam
RY665474,9,2,1,medewerkerCode
RX329583,9,2,2,medewerkerNaam
RZ274487,9,2,2,medewerkerCode
RX872245,9,2,1,medewerkerCode
RO518153,9,3,2,datumUitDienst
RY303082,9,2,1,medewerkerNaam
IC295239,9,3,2,medewerkerNaam
RY965136,9,3,1,datumUitDienst
RQ147863,9,2,2,datumUitDienst
RY950252,9,4,1,datumUitDienst
RY662922,9,2,1,datumUitDienst
RZ205746,9,2,1,medewerkerNaam
RZ105956,9,3,2,medewerkerNaam
RY527991,9,2,2,medewerkerNaam
RY861189,8,2,2,datumUitDienst
RV490726,8,2,2,datumUitDienst
IC196498,8,2,1,medewerkerCode
IC280516,8,3,2,datumUitDienst
IC295519,8,2,2,medewerkerNaam
RZ275384,8,2,1,medewerkerNaam
RY438225,8,2,2,datumUitDienst
RQ519801,8,2,1,medewerkerNaam
RY330824,8,2,2,medewerkerNaam
RQ518881,8,2,1,medewerkerNaam
RY239925,8,2,2,medewerkerNaam
RY671710,8,2,1,datumUitDienst
RV566362,8,2,2,datumUitDienst
RY997000,8,2,1,datumUitDienst
RV661001,8,3,1,datumUitDienst
RY194169,8,2,1,medewerkerNaam
RY961753,8,2,1,medewerkerNaam
RO523801,8,3,2,datumUitDienst
RX932049,8,2,2,medewerkerNaam
RZ325210,8,2,1,medewerkerNaam
RZ141055,8,2,1,medewerkerNaam
RW761075,8,2,2,medewerkerNaam
IC288035,8,2,2,datumUitDienst
IC287686,8,2,2,datumUitDienst
IC244349,8,2,1,medewerkerNaam
IC250881,8,2,1,medewerkerNaam
RZ276420,8,3,2,datumUitDienst
RY984801,8,2,2,datumUitDienst
RV884302,8,2,1,datumUitDienst
RY1008900,8,2,1,datumUitDienst
RZ147334,8,2,1,medewerkerNaam
RZ184827,8,2,1,medewerkerNaam
RX614409,8,2,1,datumUitDienst
IC104176,8,2,2,datumUitDienst
IC236536,8,2,1,medewerkerCode
RY908436,8,2,1,medewerkerCode
IC282629,8,2,1,datumUitDienst
RX294180,8,2,2,medewerkerNaam
RS742821,8,2,1,medewerkerNaam
RZ144821,8,2,2,medewerkerNaam
RZ266733,8,2,2,datumUitDienst
RY729497,8,2,1,datumUitDienst
IC267773,8,3,2,datumUitDienst
RW940661,8,2,1,datumUitDienst
RX113583,8,3,1,datumUitDienst
RY370921,8,3,1,datumUitDienst
UA005728,8,2,2,medewerkerCode
RX718168,8,2,2,datumUitDienst
RV617538,8,3,1,datumUitDienst
