user_id,total_sort_actions,different_fields_used,different_combinations_used,days_active_sorting,most_used_field,preferred_direction
RY732107,49,2,3,5,ingangsDatum,DESC
RV546104,49,1,1,4,ingangsDatum,DESC
UA006910,49,2,3,3,ingangsDatum,DESC
RO1029975,49,1,2,5,ingangsDatum,ASC
RQ441204,49,1,1,3,ingangsDatum,DESC
RW123163,48,1,1,5,documentDateModified,DESC
RY940262,48,1,1,1,ingangsDatum,DESC
IC280538,48,1,1,6,documentOmschrijving,ASC
RQ404484,48,1,1,4,ingangsDatum,DESC
RY1001872,48,1,1,4,afdeling,ASC
RV622478,48,1,1,5,ingangsDatum,DESC
RZ336692,48,1,1,2,ingangsDatum,DESC
RZ278039,48,2,4,4,documentDateModified,DESC
RO215259,48,1,1,5,ingangsDatum,DESC
IC150729,47,1,2,7,documentDateModified,DESC
RZ179346,47,4,7,3,documentAnnotated,DESC
IC290362,47,2,2,3,documentOmschrijving,ASC
RY867826,47,2,4,3,ingangsDatum,DESC
IC209151,47,1,1,5,ingangsDatum,DESC
RY862623,47,1,1,2,ingangsDatum,DESC
RV617538,47,2,3,3,documentOmschrijving,ASC
RY961753,46,1,1,2,ingangsDatum,DESC
RZ109772,46,1,1,2,ingangsDatum,DESC
RT936323,46,1,1,3,ingangsDatum,DESC
IC105265,46,1,1,1,ingangsDatum,DESC
RY913551,46,1,1,4,ingangsDatum,DESC
IC197328,46,2,3,1,documentOmschrijving,DESC
RZ245945,46,1,1,6,ingangsDatum,DESC
IC229245,46,1,1,5,ingangsDatum,ASC
RQ420723,46,1,1,3,ingangsDatum,DESC
RY268368,46,2,4,2,ingangsDatum,DESC
RU202860,46,1,1,4,documentAnnotated,ASC
RY527857,46,1,1,1,ingangsDatum,DESC
RW957183,45,1,1,2,documentDateModified,DESC
IC119286,45,2,3,3,documentDateModified,DESC
RO681125,45,1,1,4,ingangsDatum,DESC
RS513970,45,1,1,5,ingangsDatum,DESC
RZ252629,45,1,1,3,ingangsDatum,DESC
RX835026,45,1,1,1,ingangsDatum,DESC
RZ222445,45,1,1,4,ingangsDatum,DESC
IC149153,45,1,1,3,documentOmschrijving,DESC
IC209174,45,1,1,5,ingangsDatum,DESC
RQ582240,45,1,1,1,documentOmschrijving,ASC
RZ249938,44,1,1,1,documentOmschrijving,ASC
RY861676,44,1,1,3,ingangsDatum,DESC
RY866165,44,2,3,5,ingangsDatum,DESC
IC251197,44,1,1,4,ingangsDatum,DESC
RW819942,44,1,1,4,ingangsDatum,DESC
RT352375,44,1,1,5,ingangsDatum,DESC
RX521048,44,2,3,4,ingangsDatum,DESC
RY288495,44,1,1,3,ingangsDatum,DESC
RP401704,43,1,1,3,ingangsDatum,DESC
RY899327,43,6,6,2,jobDateSubmitted,DESC
RZ337723,43,1,1,3,ingangsDatum,DESC
RZ306485,43,1,1,2,ingangsDatum,DESC
RP556456,43,1,1,2,ingangsDatum,DESC
IC271666,43,2,2,1,ingangsDatum,DESC
RZ354798,42,1,1,4,ingangsDatum,DESC
RP822142,42,1,1,3,ingangsDatum,DESC
RP772967,42,1,1,3,ingangsDatum,DESC
UA006037,42,1,1,4,ingangsDatum,DESC
RX333449,42,1,1,4,ingangsDatum,DESC
RX396830,42,1,1,5,ingangsDatum,DESC
RU122265,42,1,1,2,ingangsDatum,DESC
RT382772,42,1,1,4,ingangsDatum,DESC
RX273678,42,1,1,3,documentDateModified,DESC
RZ327135,42,1,1,2,ingangsDatum,DESC
RZ181514,42,2,2,3,documentDateModified,DESC
RY853647,42,1,1,3,ingangsDatum,DESC
RQ561107,42,1,2,2,ingangsDatum,DESC
UA008095,42,1,1,5,ingangsDatum,DESC
RX508653,42,1,1,2,ingangsDatum,DESC
RZ245213,41,1,1,4,ingangsDatum,DESC
UA009540,41,1,1,3,ingangsDatum,DESC
RX550922,41,1,1,4,ingangsDatum,DESC
RX932295,41,1,1,3,documentOmschrijving,ASC
RY862695,41,1,2,5,ingangsDatum,DESC
RV485829,41,1,1,2,ingangsDatum,DESC
RO520523,41,1,2,4,ingangsDatum,DESC
RZ321613,41,1,1,5,ingangsDatum,DESC
RZ272887,41,1,1,7,ingangsDatum,DESC
RQ679496,40,1,1,5,documentAnnotated,ASC
RT125426,40,1,1,1,ingangsDatum,DESC
RO177899,40,2,3,4,ingangsDatum,DESC
RY830799,40,2,2,4,ingangsDatum,DESC
RY653151,40,1,1,4,documentDateModified,DESC
RO523801,40,1,1,5,ingangsDatum,DESC
RY441729,40,1,1,3,ingangsDatum,DESC
UA002812,40,1,1,3,ingangsDatum,DESC
RY690241,40,1,1,5,ingangsDatum,DESC
RY624425,40,1,1,4,ingangsDatum,DESC
RU669877,40,1,1,5,ingangsDatum,DESC
RZ141916,39,1,1,2,ingangsDatum,DESC
IC104176,39,1,2,5,documentOmschrijving,ASC
IC262849,39,1,2,3,ingangsDatum,DESC
RW761075,39,1,1,6,ingangsDatum,DESC
RX126807,39,1,1,5,ingangsDatum,DESC
RY548714,39,1,1,3,documentDateModified,DESC
RO125195,39,1,1,1,ingangsDatum,DESC
IC175786,39,1,1,5,ingangsDatum,DESC
RY963394,39,1,1,5,ingangsDatum,DESC
RY962265,38,2,2,2,ingangsDatum,DESC
RW647095,38,1,1,1,documentOmschrijving,ASC
RX815375,38,1,1,4,documentDateModified,DESC
IC258105,38,1,1,4,documentDateModified,DESC
RY992635,38,1,1,3,ingangsDatum,DESC
RO214268,38,1,1,5,ingangsDatum,DESC
RX333447,38,1,1,2,ingangsDatum,DESC
RZ326188,38,1,1,2,ingangsDatum,DESC
RZ353428,38,1,1,2,ingangsDatum,DESC
RV344232,38,1,2,5,ingangsDatum,DESC
IC181164,38,1,1,3,ingangsDatum,DESC
RV731212,38,1,1,1,ingangsDatum,DESC
IC112226,38,1,1,2,documentDateModified,DESC
RW606020,38,1,1,5,documentOmschrijving,DESC
RV799570,38,1,1,3,ingangsDatum,DESC
RQ531222,37,1,1,3,ingangsDatum,ASC
RV415986,37,1,1,2,ingangsDatum,DESC
IC293798,37,1,1,2,ingangsDatum,DESC
RY495896,37,1,1,5,documentOmschrijving,DESC
RY186137,37,1,1,3,ingangsDatum,DESC
RQ360025,37,2,2,2,ingangsDatum,DESC
RZ346888,37,1,1,3,documentOmschrijving,ASC
RV644673,37,4,5,6,documentDateModified,DESC
RZ139387,37,1,1,3,ingangsDatum,DESC
IC111024,37,2,2,4,ingangsDatum,DESC
RZ250809,37,3,6,3,ingangsDatum,DESC
RX379590,37,1,1,2,ingangsDatum,DESC
RV379417,37,1,1,3,ingangsDatum,DESC
RX350001,37,1,1,5,documentDateModified,DESC
IC289539,37,1,1,6,ingangsDatum,DESC
RZ133618,36,1,1,3,ingangsDatum,DESC
RZ265488,36,1,1,3,ingangsDatum,ASC
RP432863,36,1,1,2,ingangsDatum,DESC
IC293892,36,3,4,5,ingangsDatum,ASC
RX450578,36,1,1,3,ingangsDatum,ASC
IC286477,36,1,1,4,ingangsDatum,DESC
IC240266,36,1,1,4,ingangsDatum,DESC
RY233731,36,1,1,5,ingangsDatum,DESC
IC296256,36,1,1,5,ingangsDatum,DESC
RQ420721,36,1,2,3,documentOmschrijving,DESC
RW744108,36,1,1,6,ingangsDatum,DESC
RU205654,36,1,1,6,ingangsDatum,DESC
IC269846,36,2,3,3,ingangsDatum,DESC
RX868382,36,1,1,5,documentDateModified,DESC
IC272933,36,1,1,1,ingangsDatum,DESC
RU465026,36,1,1,6,documentOmschrijving,ASC
RX630721,36,1,1,5,ingangsDatum,DESC
RQ583206,35,1,1,6,ingangsDatum,DESC
RZ246633,35,1,1,5,ingangsDatum,DESC
RY478409,35,1,1,4,documentAnnotated,DESC
RZ141111,35,1,1,3,ingangsDatum,DESC
UA005074,35,1,1,6,ingangsDatum,DESC
RW175854,35,1,1,3,ingangsDatum,DESC
RU699691,35,1,1,2,documentDateModified,DESC
RZ291188,35,1,1,5,ingangsDatum,DESC
RW982076,35,1,1,2,ingangsDatum,ASC
RY197684,35,1,1,1,ingangsDatum,DESC
RZ259378,35,1,1,3,ingangsDatum,DESC
IC248812,35,1,1,3,documentOmschrijving,ASC
