date,browser,users_count
2025-09-16,Edge 109.0.1518,4
2025-09-17,Edge 138.0.0,106
2025-09-14,Edge 134.0.0,1
2025-09-12,Safari 17.14,1
2025-09-10,Edge 109.0.1518,3
2025-09-12,Edge 135.0.0,10
2025-09-10,Mobile Safari 18.6,1
2025-09-12,Edge Mobile 140.0.3485,1
2025-09-16,Chrome 140.0.0,416
2025-09-16,Firefox 140.0,4
2025-09-18,Chrome Mobile 140.0.0,1
2025-09-15,Chrome 135.0.0,9
2025-09-15,Firefox 140.0,2
2025-09-10,Chrome 139.0.0,327
2025-09-17,Chrome Mobile 140.0.0,1
2025-09-17,Safari 17.6,1
2025-09-17,Chrome 96.0.4664,1
2025-09-14,Edge 140.0.0,63
2025-09-10,Chrome 133.0.0,13
2025-09-10,Firefox 134.0,1
2025-09-15,Edge 109.0.1518,4
2025-09-12,Chrome 109.0.0,2
2025-09-10,Edge 139.0.0,399
2025-09-16,Mobile Safari 18.6,1
2025-09-18,Chrome 139.0.0,174
2025-09-17,Safari 13.4,2
2025-09-14,Safari 13.4,1
2025-09-13,Edge 135.0.0,1
2025-09-11,Chrome 137.0.0,7
2025-09-17,Firefox 134.0,1
2025-09-10,Firefox 140.0,1
2025-09-11,Safari 18.6,6
2025-09-15,Chrome 134.0.0,38
2025-09-16,Edge 132.0.0,7
2025-09-11,Edge 109.0.1518,1
2025-09-18,Mobile Safari 18.6,2
2025-09-12,Edge 139.0.0,217
2025-09-11,Chrome 138.0.0,356
2025-09-11,Edge 102.0.1245,2
2025-09-17,Firefox 115.0,1
2025-09-16,Firefox 134.0,2
2025-09-11,Chrome 133.0.0,20
2025-09-11,Edge 135.0.0,10
2025-09-17,Edge 132.0.0,2
2025-09-12,Chrome 135.0.0,6
2025-09-16,Chrome 134.0.0,31
2025-09-11,Edge Mobile 139.0.3405,2
2025-09-15,Firefox 141.0,1
2025-09-15,Edge 134.0.0,21
2025-09-16,Chrome Mobile 140.0.0,1
2025-09-18,Chrome 127.0.0,4
2025-09-17,Safari 26.0,1
2025-09-17,Chrome 131.0.0,9
2025-09-12,Chrome Mobile iOS 139.0.7258,1
2025-09-12,Firefox 142.0,7
