user,total_base_activations,employees_activations,documents_activations,import_activations,reports_activations,management_activations,unique_employee_panels_opened,max_concurrent_employee_panels,employee_panel_switches,has_switched_employee_panels
RY651764,5,5,0,0,0,0,4,3,0,False
RY651784,12,12,0,0,0,0,7,4,0,False
RY651844,130,130,0,0,0,0,64,5,5,True
RY652140,3,3,0,0,0,0,2,2,0,False
RY652796,1,1,0,0,0,0,1,1,0,False
RY653151,37,37,0,0,0,0,15,5,1,True
RY654299,1,1,0,0,0,0,0,0,0,False
RY654323,15,15,0,0,0,0,4,3,0,False
RY654788,42,42,0,0,0,0,28,3,0,False
RY656630,25,25,0,0,0,0,13,5,0,False
RY658280,35,35,0,0,0,0,20,5,1,True
RY658632,92,91,1,0,0,0,42,5,4,True
RY660383,1,1,0,0,0,0,1,1,0,False
RY662493,1,1,0,0,0,0,1,1,0,False
RY662513,0,0,0,0,0,0,1,1,0,False
RY663738,1,1,0,0,0,0,1,1,0,False
RY664086,1,1,0,0,0,0,1,1,0,False
RY665520,27,27,0,0,0,0,18,5,1,True
RY666911,36,36,0,0,0,0,25,5,0,False
RY671710,27,27,0,0,0,0,19,5,1,True
RY671797,19,19,0,0,0,0,9,5,2,True
RY672606,3,3,0,0,0,0,3,3,0,False
RY672807,4,4,0,0,0,0,3,3,0,False
RY674766,32,31,1,0,0,0,23,5,2,True
RY675285,4,4,0,0,0,0,2,2,0,False
RY675294,7,7,0,0,0,0,6,5,0,False
RY675302,15,15,0,0,0,0,7,5,0,False
RY676298,12,12,0,0,0,0,3,2,0,False
RY676653,9,9,0,0,0,0,4,4,0,False
RY677134,48,48,0,0,0,0,26,2,0,False
RY677249,48,48,0,0,0,0,18,5,0,False
RY678035,74,74,0,0,0,0,49,5,2,True
RY678565,6,5,1,0,0,0,4,4,0,False
RY680180,4,4,0,0,0,0,2,2,0,False
RY684167,14,14,0,0,0,0,4,4,0,False
RY685240,14,14,0,0,0,0,11,5,0,False
RY685478,5,5,0,0,0,0,4,1,0,False
RY686294,8,8,0,0,0,0,6,3,0,False
RY689522,25,24,1,0,0,0,14,5,0,False
RY689539,2,2,0,0,0,0,1,1,0,False
RY690241,89,89,0,0,0,0,48,5,0,False
RY698186,3,3,0,0,0,0,0,0,0,False
RY698281,11,11,0,0,0,0,8,5,0,False
RY699607,49,49,0,0,0,0,30,5,1,True
RY699826,13,13,0,0,0,0,10,2,1,True
RY700499,2,2,0,0,0,0,1,1,0,False
RY700667,96,96,0,0,0,0,74,5,0,False
RY701392,1,1,0,0,0,0,0,0,0,False
RY701447,14,14,0,0,0,0,11,5,2,True
RY701454,13,13,0,0,0,0,10,5,0,False
RY702538,5,5,0,0,0,0,3,3,0,False
RY704192,4,4,0,0,0,0,3,3,0,False
RY704414,1,1,0,0,0,0,1,1,0,False
RY704716,91,91,0,0,0,0,61,5,4,True
RY704806,3,3,0,0,0,0,3,3,0,False
RY705514,24,24,0,0,0,0,10,3,0,False
RY706282,3,2,1,0,0,0,1,1,0,False
RY707135,2,2,0,0,0,0,1,1,0,False
RY708757,3,2,0,0,0,1,1,1,0,False
RY709733,60,60,0,0,0,0,44,3,0,False
RY710255,8,8,0,0,0,0,6,5,0,False
RY710447,52,52,0,0,0,0,24,5,0,False
RY727963,3,3,0,0,0,0,2,2,1,True
RY728210,62,60,2,0,0,0,27,5,2,True
RY729548,4,4,0,0,0,0,0,0,0,False
RY730258,7,7,0,0,0,0,4,2,0,False
RY730662,9,9,0,0,0,0,5,5,0,False
RY730979,4,4,0,0,0,0,1,1,0,False
RY731152,2,2,0,0,0,0,2,2,0,False
RY731340,1,1,0,0,0,0,1,1,0,False
RY731616,1,1,0,0,0,0,1,1,0,False
RY731791,69,69,0,0,0,0,33,5,0,False
RY732107,51,51,0,0,0,0,29,5,1,True
RY735102,10,10,0,0,0,0,6,3,0,False
RY736860,2,2,0,0,0,0,2,2,0,False
RY736883,1,1,0,0,0,0,0,0,0,False
RY736979,6,6,0,0,0,0,2,2,0,False
RY737619,4,4,0,0,0,0,0,0,0,False
RY737737,81,81,0,0,0,0,46,5,0,False
RY738439,4,4,0,0,0,0,1,1,0,False
RY738790,6,6,0,0,0,0,2,2,0,False
RY740039,28,23,0,5,0,0,8,5,2,True
RY740530,43,43,0,0,0,0,24,5,4,True
RY741232,33,33,0,0,0,0,24,5,0,False
RY743484,86,86,0,0,0,0,53,5,4,True
RY746732,14,13,1,0,0,0,6,4,0,False
RY746787,10,10,0,0,0,0,2,2,0,False
RY747950,5,5,0,0,0,0,2,2,0,False
RY748204,3,3,0,0,0,0,1,1,0,False
RY750634,12,12,0,0,0,0,7,5,0,False
RY750737,11,11,0,0,0,0,6,5,0,False
RY751122,13,13,0,0,0,0,10,5,1,True
RY751558,1,1,0,0,0,0,1,1,0,False
RY751617,15,15,0,0,0,0,8,5,0,False
RY753116,7,7,0,0,0,0,4,4,0,False
RY753606,4,3,1,0,0,0,2,2,1,True
RY757533,47,47,0,0,0,0,30,5,0,False
RY758959,27,27,0,0,0,0,19,5,0,False
RY774934,8,8,0,0,0,0,1,1,0,False
RY776423,7,7,0,0,0,0,2,1,0,False
RY780622,8,8,0,0,0,0,2,2,0,False
RY780754,210,210,0,0,0,0,75,5,5,True
RY781507,7,7,0,0,0,0,5,4,0,False
RY782003,20,16,4,0,0,0,10,5,1,True
RY782449,9,9,0,0,0,0,3,3,1,True
RY782613,45,42,3,0,0,0,21,4,1,True
RY784629,8,8,0,0,0,0,4,4,0,False
RY786477,1,1,0,0,0,0,0,0,0,False
RY786960,5,5,0,0,0,0,3,1,0,False
RY787345,6,6,0,0,0,0,4,3,0,False
RY787489,1,1,0,0,0,0,0,0,0,False
RY788553,2,2,0,0,0,0,0,0,0,False
RY788863,3,3,0,0,0,0,2,2,0,False
RY795375,3,3,0,0,0,0,3,3,0,False
RY795760,114,114,0,0,0,0,78,5,0,False
RY796039,2,2,0,0,0,0,2,2,0,False
RY796412,1,1,0,0,0,0,0,0,0,False
RY797949,2,2,0,0,0,0,2,2,0,False
RY798383,14,10,1,1,1,1,6,3,0,False
RY799636,8,8,0,0,0,0,1,1,0,False
RY815113,60,60,0,0,0,0,38,5,0,False
RY815217,21,21,0,0,0,0,7,4,0,False
RY816065,17,16,1,0,0,0,9,1,0,False
RY816996,3,3,0,0,0,0,2,2,0,False
RY817739,4,4,0,0,0,0,2,2,0,False
RY820723,3,3,0,0,0,0,1,1,0,False
RY821473,43,42,1,0,0,0,19,5,1,True
RY821788,4,4,0,0,0,0,2,2,0,False
RY821888,63,63,0,0,0,0,43,4,0,False
RY821993,8,8,0,0,0,0,4,4,0,False
RY822142,4,4,0,0,0,0,3,2,1,True
RY822481,2,2,0,0,0,0,1,1,0,False
RY822993,18,18,0,0,0,0,11,5,0,False
RY823606,4,4,0,0,0,0,2,2,0,False
RY825378,11,11,0,0,0,0,6,3,0,False
RY826203,2,2,0,0,0,0,2,2,0,False
RY826639,47,46,1,0,0,0,27,5,2,True
RY827969,8,5,3,0,0,0,2,2,0,False
RY828408,18,18,0,0,0,0,11,5,0,False
RY829223,2,2,0,0,0,0,1,1,0,False
RY829372,14,14,0,0,0,0,12,5,0,False
RY829945,17,17,0,0,0,0,12,5,1,True
RY830799,18,18,0,0,0,0,3,2,0,False
RY831798,90,90,0,0,0,0,62,5,0,False
RY832211,21,19,2,0,0,0,3,3,0,False
RY833257,10,10,0,0,0,0,5,3,0,False
RY835181,11,11,0,0,0,0,8,5,0,False
RY835545,1,1,0,0,0,0,1,1,0,False
RY835838,96,96,0,0,0,0,44,5,1,True
RY851411,31,31,0,0,0,0,25,5,1,True
RY851628,1,1,0,0,0,0,0,0,0,False
RY853647,10,10,0,0,0,0,3,3,2,True
RY853817,13,13,0,0,0,0,8,5,0,False
RY853880,84,84,0,0,0,0,44,5,3,True
RY855572,2,2,0,0,0,0,2,2,0,False
RY855770,48,48,0,0,0,0,27,5,2,True
RY855965,10,10,0,0,0,0,6,5,0,False
RY856582,10,10,0,0,0,0,10,5,0,False
RY857082,1,1,0,0,0,0,1,1,0,False
RY857089,48,48,0,0,0,0,37,5,0,False
RY857098,1,1,0,0,0,0,1,1,0,False
RY857100,9,9,0,0,0,0,9,5,0,False
RY858019,3,3,0,0,0,0,0,0,0,False
RY858751,90,68,10,3,4,5,25,5,0,False
RY858778,99,98,1,0,0,0,66,5,1,True
RY858835,16,14,2,0,0,0,8,5,0,False
RY860908,73,73,0,0,0,0,32,5,4,True
RY861189,9,9,0,0,0,0,4,4,1,True
RY861366,17,17,0,0,0,0,10,3,0,False
RY861466,1,1,0,0,0,0,0,0,0,False
RY861512,21,21,0,0,0,0,12,5,2,True
RY862010,33,33,0,0,0,0,10,5,2,True
RY862322,32,32,0,0,0,0,16,5,4,True
RY862437,72,71,1,0,0,0,46,5,1,True
RY862623,82,82,0,0,0,0,58,5,1,True
RY862694,46,46,0,0,0,0,33,5,1,True
RY862695,51,48,3,0,0,0,20,5,1,True
RY862699,18,16,2,0,0,0,11,5,1,True
RY863718,16,16,0,0,0,0,7,5,1,True
RY864107,2,2,0,0,0,0,2,2,0,False
RY866165,52,52,0,0,0,0,40,5,0,False
RY866576,33,33,0,0,0,0,27,5,2,True
RY866785,41,41,0,0,0,0,30,5,1,True
RY867246,12,12,0,0,0,0,7,3,1,True
RY867826,36,34,2,0,0,0,24,5,1,True
RY867827,8,8,0,0,0,0,8,5,0,False
RY867831,37,37,0,0,0,0,15,5,0,False
RY868178,25,25,0,0,0,0,20,5,1,True
RY869068,11,11,0,0,0,0,8,5,0,False
RY870354,3,3,0,0,0,0,1,1,0,False
RY870748,11,11,0,0,0,0,4,4,0,False
RY871083,53,53,0,0,0,0,30,5,3,True
RY871795,1,1,0,0,0,0,1,1,0,False
RY871800,1,1,0,0,0,0,1,1,0,False
RY890736,3,3,0,0,0,0,1,1,0,False
RY890789,1,1,0,0,0,0,1,1,0,False
RY890799,10,10,0,0,0,0,1,1,0,False
RY890866,10,10,0,0,0,0,9,5,1,True
RY891110,2,2,0,0,0,0,1,1,0,False
RY891979,2,2,0,0,0,0,0,0,0,False
RY892276,76,76,0,0,0,0,50,5,0,False
RY892981,3,3,0,0,0,0,2,2,0,False
RY893914,4,4,0,0,0,0,1,1,0,False
RY893927,3,3,0,0,0,0,2,2,0,False
RY894743,1,1,0,0,0,0,0,0,0,False
RY895064,12,11,1,0,0,0,6,5,0,False
RY895163,8,8,0,0,0,0,6,5,0,False
RY895559,1,1,0,0,0,0,0,0,0,False
RY896529,6,6,0,0,0,0,5,3,0,False
RY897987,6,6,0,0,0,0,5,3,0,False
RY899327,20,8,7,0,5,0,5,3,0,False
RY899828,13,13,0,0,0,0,10,5,0,False
RY900491,1,1,0,0,0,0,1,1,0,False
RY901808,7,7,0,0,0,0,7,4,0,False
RY901867,8,8,0,0,0,0,3,3,0,False
RY902258,3,3,0,0,0,0,1,1,0,False
RY902940,2,2,0,0,0,0,2,2,0,False
RY903347,17,17,0,0,0,0,5,5,0,False
RY903861,91,91,0,0,0,0,48,5,5,True
RY904811,54,54,0,0,0,0,39,3,1,True
RY905786,50,50,0,0,0,0,25,5,1,True
RY906057,33,33,0,0,0,0,22,5,0,False
RY906059,73,73,0,0,0,0,29,5,4,True
RY906185,32,32,0,0,0,0,25,3,0,False
RY906549,7,7,0,0,0,0,2,2,0,False
RY906605,85,85,0,0,0,0,23,5,1,True
RY906672,9,9,0,0,0,0,4,4,0,False
RY908879,6,5,1,0,0,0,1,1,0,False
RY909900,11,11,0,0,0,0,6,5,0,False
RY909962,22,22,0,0,0,0,12,5,1,True
RY910402,4,4,0,0,0,0,1,1,0,False
RY913164,8,8,0,0,0,0,3,3,0,False
RY913551,35,34,1,0,0,0,29,5,0,False
RY931723,2,2,0,0,0,0,0,0,0,False
RY932140,113,89,24,0,0,0,48,5,1,True
RY934322,2,2,0,0,0,0,1,1,0,False
RY935229,4,4,0,0,0,0,3,3,0,False
RY935527,1,1,0,0,0,0,1,1,0,False
RY935812,5,5,0,0,0,0,2,2,0,False
RY936007,1,1,0,0,0,0,0,0,0,False
RY936271,27,27,0,0,0,0,19,3,0,False
RY938150,16,16,0,0,0,0,10,5,0,False
RY938153,7,7,0,0,0,0,3,3,0,False
RY940431,1,1,0,0,0,0,1,1,0,False
RY942597,2,2,0,0,0,0,1,1,0,False
RY942764,41,27,3,5,2,4,16,5,0,False
RY942865,17,17,0,0,0,0,7,5,1,True
RY943010,9,9,0,0,0,0,4,3,0,False
RY943250,2,2,0,0,0,0,1,1,0,False
RY943372,10,10,0,0,0,0,8,5,0,False
RY943595,65,65,0,0,0,0,52,3,0,False
RY943665,13,13,0,0,0,0,9,5,0,False
RY944177,10,10,0,0,0,0,5,5,1,True
RY944246,12,12,0,0,0,0,5,5,1,True
RY944399,3,3,0,0,0,0,2,2,0,False
RY950276,61,61,0,0,0,0,26,5,4,True
RY950644,1,1,0,0,0,0,1,1,0,False
RY951577,1,1,0,0,0,0,1,1,0,False
RY952001,4,4,0,0,0,0,2,2,0,False
RY952360,99,99,0,0,0,0,60,3,0,False
RY952361,40,33,1,6,0,0,19,5,0,False
RY952476,17,15,2,0,0,0,10,5,0,False
RY952512,5,5,0,0,0,0,4,4,0,False
RY953257,6,6,0,0,0,0,3,3,0,False
RY953522,8,8,0,0,0,0,4,4,1,True
RY954102,3,3,0,0,0,0,2,2,0,False
RY954779,13,13,0,0,0,0,9,5,0,False
RY954808,34,34,0,0,0,0,14,5,2,True
RY955867,1,1,0,0,0,0,1,1,0,False
RY956024,2,2,0,0,0,0,2,2,0,False
RY956088,1,1,0,0,0,0,1,1,0,False
RY956141,4,4,0,0,0,0,2,2,0,False
RY956523,2,2,0,0,0,0,2,2,0,False
RY956908,10,8,2,0,0,0,1,1,0,False
RY956995,1,1,0,0,0,0,1,1,0,False
RY961341,1,1,0,0,0,0,0,0,0,False
RY962441,2,2,0,0,0,0,1,1,0,False
RY962610,6,5,1,0,0,0,1,1,0,False
RY962643,4,4,0,0,0,0,3,3,0,False
RY962697,25,22,3,0,0,0,11,5,0,False
RY963239,4,4,0,0,0,0,3,3,0,False
